date,time,latitude(degree_north),longitude(degree_east),longitudeQC,latitudeQC,speedOG(knot),speedOGQC,courseOG(degree),courseOGQC,shipHeading(degree),shipHeadingQC,portAirTemp(degC),portAirTempQC,stbdAirTemp(degC),stbdAirTempQC,portHumidity(%),portHumidityQC,stbdHumidity(%),stbdHumidityQC,atmPressure(mbar),atmPressureQC,rain(mm),rainQC,portRelWindSpeed(knot),portRelWindSpeedQC,portTrueWindSpeed(knot),portTrueWindSpeedQC,stbdRelWindSpeed(knot),stbdRelWindSpeedQC,stbdTrueWindSpeed(knot),stbdTrueWindSpeedQC,portRelWindDir(degree),portRelWindDirQC,portTrueWindDir(degree),portTrueWindDirQC,stbdRelWindDir(degree),stbdRelWindDirQC,stbdTrueWindDir(degree),stbdTrueWindDirQC,maxWindGust(knot),maxWindGustQC,ultrasonicRelWindSpeed(knot),ultrasonicRelWindSpeedQC,ultrasonicTrueWindSpeed(knot),ultrasonicTrueWindSpeedQC,ultrasonicRelWindDir(degree),ultrasonicRelWindDirQC,ultrasonicTrueWindDir(degree),ultrasonicTrueWindDirQC,stbdRadiometer(W/m^2),stbdRadiometerQC,portRadiometer(W/m^2),portRadiometerQC,stbdPyranometer(W/m^2),stbdPyranometerQC,portPyranometer(W/m^2),portPyranometerQC,portPAR(uE/m^2/s),portPARQC,stbdPAR(uE/m^2/s),stbdPARQC,salinity(PSU),salinityQC,waterTemp(degC),waterTempQC
31-Aug-2017,02:45:00,-27.38261,153.16196,203,203, 0.000,203,327.41,203, 41.95,203,20.000,203,19.800,203,53.870,203,54.070,203,1018.8,203,0.0000,203, 3.100,203, 3.100,203, 3.360,203, 3.360,203, 62.60,203,104.12,203, 89.72,203,131.19,203, 3.970,203, 4.860,203, 4.860,203, 86.04,203,127.04,203,328.20,203,334.60,203, 748.5,203,768.70,203,1537.0,203,1559.0,203,32.319,203,18.613,203
31-Aug-2017,02:50:00,-27.38260,153.16196,203,203, 0.000,203,196.64,203, 41.91,203,19.800,203,19.640,203,52.750,203,53.690,203,1018.8,203,0.0000,203, 6.150,203, 6.150,203, 6.640,203, 6.640,203, 65.54,203,106.78,203, 75.35,203,116.92,203, 7.210,203, 7.110,203, 7.110,203, 81.48,203,122.48,203,329.30,203,333.00,203, 748.6,203,769.20,203,1541.0,203,1562.0,203,32.319,203,18.605,203
31-Aug-2017,02:55:00,-27.38260,153.16196,203,203, 0.000,203,318.18,203, 41.89,203,20.080,203,19.900,203,52.820,203,53.320,203,1018.7,203,0.0000,203, 5.530,203, 5.530,203, 5.130,203, 5.130,203, 69.99,203,111.40,203, 91.12,203,132.76,203, 6.430,203, 8.050,203, 8.050,203, 75.97,203,116.97,203,328.80,203,334.40,203, 741.1,203,761.90,203,1526.0,203,1547.0,203,32.321,203,18.602,203
31-Aug-2017,03:00:00,-27.38260,153.16196,203,203, 0.000,203,347.03,203, 41.97,203,20.000,203,19.800,203,52.930,203,53.230,203,1018.7,203,0.0000,203, 6.100,203, 6.100,203, 4.680,203, 4.680,203, 43.65,203, 85.17,203, 52.80,203, 94.29,203, 6.600,203, 5.510,203, 5.510,203, 56.43,203, 97.43,203,328.40,203,337.00,203, 733.1,203,754.60,203,1513.0,203,1533.0,203,32.323,203,18.602,203
31-Aug-2017,03:05:00,-27.38261,153.16196,203,203, 0.000,203,216.46,203, 41.81,203,19.800,203,19.600,203,53.000,203,53.300,203,1018.7,203,0.0000,203, 5.410,203, 5.420,203, 4.200,203, 4.200,203, 61.37,203,102.67,203, 62.15,203,103.68,203, 6.040,203, 5.730,203, 5.730,203, 71.09,203,112.09,203,329.00,203,334.80,203, 730.1,203,750.50,203,1506.0,203,1526.0,203,32.323,203,18.605,203
31-Aug-2017,03:10:00,-27.38260,153.16196,203,203, 0.000,203,298.11,203, 41.89,203,20.000,203,19.800,203,51.320,203,51.450,203,1018.6,203,0.0000,203, 5.760,203, 5.760,203, 5.040,203, 5.040,203, 61.64,203,102.81,203, 73.03,203,114.43,203, 6.390,203, 5.730,203, 5.730,203, 75.54,203,116.54,203,327.60,203,334.80,203, 724.0,203,743.00,203,1489.0,203,1510.0,203,32.325,203,18.605,203
31-Aug-2017,03:15:00,-27.38261,153.16196,203,203, 0.000,203,300.37,203, 42.08,203,19.700,203,19.500,203,51.480,203,52.040,203,1018.6,203,0.0000,203, 5.380,203, 5.380,203, 4.040,203, 4.040,203, 33.83,203, 75.40,203, 59.59,203,101.19,203, 6.650,203, 7.020,203, 7.020,203, 52.52,203, 94.52,203,329.90,203,333.10,203, 716.1,203,733.80,203,1470.0,203,1493.0,203,32.325,203,18.604,203
31-Aug-2017,03:20:00,-27.38260,153.16196,203,203, 0.000,203,287.15,203, 42.02,203,19.800,203,19.700,203,52.740,203,52.700,203,1018.6,203,0.0000,203, 4.820,203, 4.820,203, 3.770,203, 3.770,203, 54.39,203, 95.78,203, 71.24,203,112.42,203, 5.130,203, 7.100,203, 7.100,203, 76.80,203,118.72,203,329.40,203,332.30,203, 712.9,203,730.10,203,1462.0,203,1488.0,203,32.327,203,18.603,203
31-Aug-2017,03:25:00,-27.38260,153.16196,203,203, 0.000,203,217.79,203, 42.00,203,19.810,203,19.700,203,50.110,203,50.610,203,1018.5,203,0.0000,203, 5.290,203, 5.290,203, 4.690,203, 4.670,203, 68.11,203,109.63,203, 75.59,203,116.97,203, 6.010,203, 5.410,203, 5.410,203, 80.95,203,122.57,203,330.00,203,333.10,203, 698.8,203,715.20,203,1430.0,203,1457.0,203,32.328,203,18.588,203
31-Aug-2017,03:30:00,-27.38260,153.16196,203,203, 0.000,203,271.19,203, 42.11,203,19.800,203,19.700,203,52.090,203,52.590,203,1018.5,203,0.0000,203, 4.730,203, 4.730,203, 4.510,203, 4.510,203, 53.90,203, 95.45,203, 92.01,203,133.66,203, 5.330,203, 5.030,203, 5.030,203, 73.68,203,115.68,203,329.20,203,332.20,203, 682.8,203,698.90,203,1398.0,203,1423.0,203,32.329,203,18.578,203
